size,rep,seq_runtime_s,mpi_runtime_s,seq_wall_s,mpi_wall_s,speedup,efficiency,seq_iterations,mpi_iterations,seq_row_error,seq_col_error,mpi_row_error,mpi_col_error,objective_diff
5000,2,0.781790452,0.778430741,0.9381945629993425,2.1165902350003307,1.0043160050381412,0.5021580025190706,10,10,5.000307906638133e-09,5.000307910541261e-09,5.000307901081597e-09,5.0003079002142355e-09,2.3647750424515834e-14
5000,3,0.8901187540000001,0.739794202,1.074325437999505,1.9724479549995522,1.2031977968921688,0.6015988984460844,10,10,5.000307906638133e-09,5.000307910541261e-09,5.000307901081597e-09,5.0003079002142355e-09,2.3647750424515834e-14
6000,1,1.236315559,1.141060249,1.4717947640001512,2.5922170949997962,1.0834796498111994,0.5417398249055997,10,10,6.000311696699413e-09,6.0003117898052745e-09,6.000311694639429e-09,6.0003117089780025e-09,1.2323475573339238e-13
6000,2,1.108311041,0.987002522,1.310137047000353,2.6448451759997624,1.1229059868602849,0.5614529934301424,10,10,6.000311696699413e-09,6.0003117898052745e-09,6.000311694639429e-09,6.0003117089780025e-09,1.2323475573339238e-13
6000,3,1.12529243,0.917559197,1.330912202000036,2.30968790299994,1.2263976359009783,0.6131988179504891,10,10,6.000311696699413e-09,6.0003117898052745e-09,6.000311694639429e-09,6.0003117089780025e-09,1.2323475573339238e-13
7000,1,1.709471026,1.131126102,2.0509014689996548,2.4120352720001392,1.5113001308849645,0.7556500654424823,10,10,7.0003118272531e-09,7.000311815841872e-09,7.000311798142271e-09,7.00031174021877e-09,4.496403249731884e-15
7000,2,1.548221262,1.3369255139999998,1.831640540999615,2.8935551079994184,1.158046013624062,0.579023006812031,10,10,7.0003118272531e-09,7.000311815841872e-09,7.000311798142271e-09,7.00031174021877e-09,4.496403249731884e-15
7000,3,1.4752666810000001,1.1236372319999999,1.78082780800014,2.435105057000328,1.3129385881723794,0.6564692940861897,10,10,7.0003118272531e-09,7.000311815841872e-09,7.000311798142271e-09,7.00031174021877e-09,4.496403249731884e-15
8000,1,2.132819953,1.6834471260000001,2.5282137219992364,3.0271772569994937,1.2669361098781546,0.6334680549390773,10,10,8.000318893204138e-09,8.000318855067327e-09,8.000318872468772e-09,8.000318843222418e-09,1.0524914273446484e-13
8000,2,2.135008129,1.518520595,2.5577877469995656,2.8674256630001764,1.4059790404093926,0.7029895202046963,10,10,8.000318893204138e-09,8.000318855067327e-09,8.000318872468772e-09,8.000318843222418e-09,1.0524914273446484e-13
8000,3,2.082074874,1.498320986,2.5014810009997746,3.2819788269998753,1.3896053605699146,0.6948026802849573,10,10,8.000318893204138e-09,8.000318855067327e-09,8.000318872468772e-09,8.000318843222418e-09,1.0524914273446484e-13
9000,1,2.797760708,1.834098831,3.366698744000132,3.294103594000262,1.5254143673787666,0.7627071836893833,10,10,9.000316953988773e-09,9.000316979413314e-09,9.000316925935042e-09,9.000316975943867e-09,1.0880185641326534e-13
9000,2,2.8351841870000003,1.996712286,3.3289638360001845,3.8178876480005783,1.4199262492042384,0.7099631246021192,10,10,9.000316953988773e-09,9.000316979413314e-09,9.000316925935042e-09,9.000316975943867e-09,1.0880185641326534e-13
9000,3,2.62725323,1.839764167,3.193153639999764,3.339794761000121,1.4280380480961938,0.7140190240480969,10,10,9.000316953988773e-09,9.000316979413314e-09,9.000316925935042e-09,9.000316975943867e-09,1.0880185641326534e-13
10000,1,3.281982998,2.299407354,3.8959139170001436,3.768020558999524,1.4273169094161295,0.7136584547080648,10,10,1.0000315694920535e-08,1.0000315728869616e-08,1.0000315708161354e-08,1.0000315716319976e-08,8.315570454442422e-14
10000,2,3.320498802,2.1294341059999997,4.140471145999982,3.590658719000203,1.55933390596309,0.779666952981545,10,10,1.0000315694920535e-08,1.0000315728869616e-08,1.0000315708161354e-08,1.0000315716319976e-08,8.315570454442422e-14
10000,3,3.3662109279999997,2.230596151,4.0031335029998445,3.8434114179999597,1.5091081935611212,0.7545540967805606,10,10,1.0000315694920535e-08,1.0000315728869616e-08,1.0000315708161354e-08,1.0000315716319976e-08,8.315570454442422e-14
11000,1,3.937467753,2.5178641489999998,4.698726235999857,4.108760768000138,1.56381262847871,0.781906314239355,10,10,1.1000313417163041e-08,1.100031340525037e-08,1.1000313413341229e-08,1.1000313442601135e-08,2.102207297127734e-13
11000,2,3.903157315,2.490423841,4.660232283000369,3.9683665779994044,1.5672662824464183,0.7836331412232092,10,10,1.1000313417163041e-08,1.100031340525037e-08,1.1000313413341229e-08,1.1000313442601135e-08,2.102207297127734e-13
11000,3,3.941131375,2.7738480360000004,4.6919550420007,4.7644446479998805,1.4208173352867841,0.7104086676433921,10,10,1.1000313417163041e-08,1.100031340525037e-08,1.1000313413341229e-08,1.1000313442601135e-08,2.102207297127734e-13
12000,1,4.6020344699999995,3.118200152,5.428711788000328,5.150085064999985,1.4758624352732055,0.7379312176366027,10,10,1.2000309922320846e-08,1.2000309906152681e-08,1.2000309955971771e-08,1.2000309935439693e-08,8.809619700400617e-14
12000,2,4.5744986679999995,2.965473104,5.478145840999787,4.590366885999174,1.5425864634650215,0.7712932317325107,10,10,1.2000309922320846e-08,1.2000309906152681e-08,1.2000309955971771e-08,1.2000309935439693e-08,8.809619700400617e-14
12000,3,4.504220235,2.9573836,5.317643584000507,5.313028457000655,1.5230422712156786,0.7615211356078393,10,10,1.2000309922320846e-08,1.2000309906152681e-08,1.2000309955971771e-08,1.2000309935439693e-08,8.809619700400617e-14
