experiment,size,max_iters,np,rep,rank,local_rows,total_sec,compute_sec,comm_sec,overhead_sec
baseline,9000,50,3,4,0,3000,4.833378037,3.7109037290000018,1.1219827260000024,0.0004915819999959936
baseline,9000,50,3,4,1,3000,4.835994523,3.7068511309999983,1.1282743600000003,0.0008690320000015461
baseline,9000,50,3,4,2,3000,4.837084034,2.857429894000001,1.9787651890000015,0.0008889509999976397
load_balance,8000,50,3,1,0,2667,4.706965443,3.7129279389999987,0.9933762309999998,0.0006612730000010725
load_balance,8000,50,3,1,1,2667,4.700420331,3.053545137,1.646371788999999,0.0005034050000012336
load_balance,8000,50,3,1,2,2666,4.702540731,2.289531450000002,2.412285976999999,0.000723303999999203
load_balance,8000,50,3,2,0,2667,4.3638682310000005,3.0754663180000024,1.2875388950000017,0.0008630179999964405
load_balance,8000,50,3,2,1,2667,4.370350476,3.0342282889999983,1.3355330260000016,0.0005891609999997272
load_balance,8000,50,3,2,2,2666,4.372805199,2.2734983130000006,2.098485443000001,0.000821442999998645
load_balance,8000,50,3,3,0,2667,4.369453619,3.285760028000001,1.0829807879999997,0.0007128029999987628
load_balance,8000,50,3,3,1,2667,4.375745139,3.0170653600000006,1.358058485999998,0.0006212930000015771
load_balance,8000,50,3,3,2,2666,4.363377754,2.281922786000001,2.080705835,0.0007491329999993468
process_sweep,8000,50,1,1,0,8000,10.589251787,10.586254752000007,0.0005689020000003708,0.0024281329999924495
process_sweep,8000,50,1,2,0,8000,9.373915804,9.373173998999997,0.0003614080000009512,0.00038039700000136456
process_sweep,8000,50,1,3,0,8000,9.036840927,9.034270702,0.0004669110000001808,0.002103313999999301
process_sweep,8000,50,2,1,0,4000,6.202304447,4.412682241999998,1.7892291600000019,0.00039304500000048037
process_sweep,8000,50,2,1,1,4000,6.19823694,4.322979166999997,1.874816676999999,0.000441096000004082
process_sweep,8000,50,2,2,0,4000,4.931140772,4.406297744999999,0.52428134,0.0005616870000010321
process_sweep,8000,50,2,2,1,4000,4.929073223,4.322039474000001,0.6062580669999988,0.0007756819999995557
process_sweep,8000,50,2,3,0,4000,4.931197943,4.391920127999998,0.538880858000001,0.0003969570000009748
process_sweep,8000,50,2,3,1,4000,4.933025916,4.3508457039999975,0.5813555499999989,0.0008246620000036398
process_sweep,8000,50,3,1,0,2667,4.2451159789999995,2.9406059750000013,1.3039747460000006,0.0005352579999975404
process_sweep,8000,50,3,1,1,2667,4.248865449,2.9307011319999985,1.317746264,0.00041805300000175016
process_sweep,8000,50,3,1,2,2666,4.242573983,2.832050681,1.4095957409999997,0.0009275609999999102
process_sweep,8000,50,3,2,0,2667,3.900109302,2.907765524999999,0.9918405740000011,0.0005032030000000631
process_sweep,8000,50,3,2,1,2667,3.905546273,2.896794747999999,1.008275663,0.00047586200000093726
process_sweep,8000,50,3,2,2,2666,3.907689457,2.242864708000001,1.6640419779999993,0.0007827709999999044
process_sweep,8000,50,3,3,0,2667,3.807725998,2.915861706,0.8914521090000003,0.0004121829999998994
process_sweep,8000,50,3,3,1,2667,3.813158306,2.8971594509999994,0.9152143909999995,0.000784464000001206
process_sweep,8000,50,3,3,2,2666,3.8043603679999998,2.2521647669999996,1.551534593000002,0.0006610079999982421
process_sweep,8000,50,4,1,0,2000,3.500926538,2.000642355,1.4987808359999997,0.0015033470000000992
process_sweep,8000,50,4,1,1,2000,3.4861528170000002,2.189264403000002,1.2963407660000008,0.0005476479999975137
process_sweep,8000,50,4,1,2,2000,3.5041732010000004,1.967477514,1.5359723399999998,0.0007233470000005404
