experiment,kind,size,np,max_iters,rep,runtime_sec,objective,row_error,col_error,column_syncs,column_payload_bytes,hostnames,local_rows_by_rank,rank_compute_sec,rank_comm_sec,rank_total_sec,max_rank_compute_sec,max_rank_comm_sec,max_rank_overhead_sec,max_rank_total_sec,min_rank_total_sec,rank_imbalance_pct,json
baseline,seq,3000,1,50,3,1.1288939550000001,0.10008101795440717,3.0041238938734866e-09,3.0041239282969055e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,1.1288939550000001,1.1288939550000001,0.0,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_seq_n3000_iters50_rep3.json
baseline,seq,3000,1,50,4,1.1628225319999999,0.10008101795440717,3.0041238938734866e-09,3.0041239282969055e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,1.1628225319999999,1.1628225319999999,0.0,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_seq_n3000_iters50_rep4.json
baseline,mpi,3000,3,50,1,1.069989533,0.1000810179544053,3.0041238843325074e-09,3.004123933555286e-09,50,1200000,vmubuntu;VMubuntu;quan,"[1000, 1000, 1000]","[0.4145619249999999, 0.44948485899999974, 0.3554899579999997]","[0.6507152900000002, 0.6203268140000002, 0.7097636979999999]","[1.06544966, 1.069989533, 1.065651605]",0.44948485899999974,0.7097636979999999,0.0003979490000003416,1.069989533,1.06544966,0.4242913467827275,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_mpi_n3000_np3_iters50_rep1.json
baseline,mpi,3000,3,50,2,1.097734886,0.1000810179544053,3.0041238843325074e-09,3.004123933555286e-09,50,1200000,vmubuntu;VMubuntu;quan,"[1000, 1000, 1000]","[0.4303536599999993, 0.407093264, 0.3414009470000001]","[0.6672180689999994, 0.6880550940000002, 0.7512732849999992]","[1.097734886, 1.0954388670000001, 1.093116304]",0.4303536599999993,0.7512732849999992,0.0004420720000006817,1.097734886,1.093116304,0.4207374712148833,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_mpi_n3000_np3_iters50_rep2.json
baseline,mpi,3000,3,50,3,1.049320163,0.1000810179544053,3.0041238843325074e-09,3.004123933555286e-09,50,1200000,vmubuntu;VMubuntu;quan,"[1000, 1000, 1000]","[0.431005977, 0.4413481470000005, 0.33007668299999987]","[0.6181362409999996, 0.6071007720000003, 0.7165127799999998]","[1.049320163, 1.0491154710000001, 1.046987918]",0.4413481470000005,0.7165127799999998,0.0006665519999993208,1.049320163,1.046987918,0.22226247833951762,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_mpi_n3000_np3_iters50_rep3.json
baseline,mpi,3000,3,50,4,0.98360768,0.1000810179544053,3.0041238843325074e-09,3.004123933555286e-09,50,1200000,vmubuntu;VMubuntu;quan,"[1000, 1000, 1000]","[0.41777712700000047, 0.45278351700000014, 0.32874714499999996]","[0.56134567, 0.5306385370000003, 0.6493488980000002]","[0.979274898, 0.98360768, 0.9785108530000001]",0.45278351700000014,0.6493488980000002,0.00041480999999987667,0.98360768,0.9785108530000001,0.5181768202541805,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_mpi_n3000_np3_iters50_rep4.json
baseline,seq,4000,1,50,1,3.400646301,0.10001810744139047,4.003998679814012e-09,4.0039986399695825e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,3.400646301,3.400646301,0.0,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_seq_n4000_iters50_rep1.json
baseline,seq,4000,1,50,2,2.083510048,0.10001810744139047,4.003998679814012e-09,4.0039986399695825e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,2.083510048,2.083510048,0.0,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_seq_n4000_iters50_rep2.json
baseline,seq,4000,1,50,3,2.13745223,0.10001810744139047,4.003998679814012e-09,4.0039986399695825e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,2.13745223,2.13745223,0.0,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_seq_n4000_iters50_rep3.json
baseline,seq,4000,1,50,4,2.262951735,0.10001810744139047,4.003998679814012e-09,4.0039986399695825e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,2.262951735,2.262951735,0.0,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_seq_n4000_iters50_rep4.json
