experiment,size,max_iters,np,rep,rank,local_rows,total_sec,compute_sec,comm_sec,overhead_sec
baseline,5000,50,3,1,0,1667,1.7291846260000001,1.116763717,0.6120560430000004,0.0003648659999997417
baseline,5000,50,3,1,1,1667,1.731367826,1.1703679939999991,0.5606748800000004,0.00032495200000048907
baseline,5000,50,3,1,2,1666,1.7297284179999999,0.9158024040000006,0.8128552450000003,0.0010707689999990277
baseline,5000,50,3,2,0,1667,1.915495905,1.2213589640000004,0.6938298229999993,0.00030711800000027267
baseline,5000,50,3,2,1,1667,1.919047884,1.463623653,0.45499893399999963,0.00042529700000043524
baseline,5000,50,3,2,2,1666,1.914452485,0.8576788179999999,1.0564779629999994,0.00029570400000067387
baseline,5000,50,3,3,0,1667,2.03758049,1.110132137,0.9270905359999996,0.0003578170000003711
baseline,5000,50,3,3,1,1667,2.039238094,1.5749771829999997,0.4639080500000011,0.00035286099999909393
baseline,5000,50,3,3,2,1666,2.038976129,0.8336160519999996,1.2051459640000008,0.00021411299999951616
baseline,5000,50,3,4,0,1667,1.987272766,1.1104442899999996,0.8765373630000008,0.0002911129999996209
baseline,5000,50,3,4,1,1667,1.989517282,1.5280567859999994,0.4611268790000004,0.0003336170000002303
baseline,5000,50,3,4,2,1666,1.9885014890000001,0.8322368439999996,1.156022189,0.0002424560000005016
baseline,6000,50,3,1,0,2000,2.8597403860000004,2.1827840760000004,0.676296222999999,0.0006600870000009751
baseline,6000,50,3,1,1,2000,2.862441945,2.108553730000001,0.7531904490000022,0.0006977659999968244
baseline,6000,50,3,1,2,2000,2.859151003,1.3422126350000012,1.5161451719999994,0.0007931959999993854
baseline,6000,50,3,2,0,2000,2.460669082,1.7106384279999993,0.7494022660000011,0.0006283879999994246
baseline,6000,50,3,2,1,2000,2.462826064,1.912537172,0.549763235,0.0005256570000001792
baseline,6000,50,3,2,2,2000,2.4612137400000003,1.2394457429999992,1.2212841670000012,0.0004838299999998519
baseline,6000,50,3,3,0,2000,2.436149933,1.5737013669999997,0.8620125890000001,0.0004359769999999763
baseline,6000,50,3,3,1,2000,2.435128031,1.8699038050000005,0.5646686449999998,0.0005555809999997496
baseline,6000,50,3,3,2,2000,2.437031993,1.2090359380000018,1.2277386430000004,0.0002574119999980695
baseline,6000,50,3,4,0,2000,2.3046468360000003,1.5773572529999997,0.726922623,0.0003669600000005824
baseline,6000,50,3,4,1,2000,2.304521604,1.755689248,0.5482022510000001,0.0006301050000000474
baseline,6000,50,3,4,2,2000,2.3032042749999997,1.236176113,1.0667479189999995,0.0002802430000001799
baseline,7000,50,3,1,0,2334,3.66779072,2.525471242000001,1.1418256239999993,0.0004938539999999048
baseline,7000,50,3,1,1,2333,3.670924626,2.817885938999999,0.8523203450000008,0.000718342000000316
baseline,7000,50,3,1,2,2333,3.665130804,1.9263170149999982,1.7376181440000003,0.0011956450000014662
baseline,7000,50,3,2,0,2334,3.38245905,2.3959207970000014,0.9859936070000004,0.0005446459999982611
baseline,7000,50,3,2,1,2333,3.3871473450000003,2.653607664000001,0.733083202,0.0004564789999994545
baseline,7000,50,3,2,2,2333,3.382186963,1.682291038,1.6995205039999992,0.0003754210000008751
baseline,7000,50,3,3,0,2334,3.631091224,2.468563965,1.161775478,0.0007517809999999514
baseline,7000,50,3,3,1,2333,3.632305778,3.0841787430000016,0.547557582,0.0005694529999984432
baseline,7000,50,3,3,2,2333,3.630338011,1.661282772000002,1.9687367630000006,0.00031847599999745846
baseline,7000,50,3,4,0,2334,3.6589850619999997,2.1637163569999998,1.4947250429999994,0.0005436620000005554
baseline,7000,50,3,4,1,2333,3.658413179,3.071596159,0.5863402589999976,0.00047676100000260124
baseline,7000,50,3,4,2,2333,3.6571436840000002,1.6471054059999988,2.009682895000001,0.0003553830000004865
baseline,8000,50,3,1,0,2667,4.3913324650000005,3.092426243999999,1.297094917999998,0.001811303000003539
baseline,8000,50,3,1,1,2667,4.39321707,3.61574914,0.7765526869999999,0.0009152430000003431
baseline,8000,50,3,1,2,2666,4.391425065,2.2782493809999997,2.1121718389999984,0.001003845000001835
baseline,8000,50,3,2,0,2667,4.523860634,3.8511870999999998,0.6720311239999999,0.0006424100000004263
baseline,8000,50,3,2,1,2667,4.526825499999999,2.860024907999997,1.666297603999999,0.0005029880000031461
baseline,8000,50,3,2,2,2666,4.525661638,2.1855123300000003,2.3397374999999996,0.000411807999999958
baseline,8000,50,3,3,0,2667,4.597965926,2.8459707120000015,1.7515644980000022,0.00043071599999588983
baseline,8000,50,3,3,1,2667,4.600584717,3.9202579970000015,0.679369902000001,0.0009568179999976945
baseline,8000,50,3,3,2,2666,4.598220839,2.1754193540000024,2.422277264,0.0005242209999973824
baseline,8000,50,3,4,0,2667,4.634254752,2.7941744139999996,1.8396216850000002,0.0004586530000005862
baseline,8000,50,3,4,1,2667,4.636704688,3.9991345300000005,0.6370041590000011,0.0005659989999984294
baseline,8000,50,3,4,2,2666,4.633772500999999,2.173763222999998,2.4596026210000006,0.00040665700000053207
baseline,9000,50,3,1,0,3000,6.591830776,5.533860422999999,1.0572275720000006,0.0007427810000002477
baseline,9000,50,3,1,1,3000,6.593200964999999,4.443740142999998,2.148793738999997,0.0006670830000046202
