size,rep,seq_key,runtime_s,wall_s,row_error,col_error,objective,iterations,kernel_cutoff
7000,1,dense,6.339543292,6.63391755000066,7.000309892494323e-09,7.000309878941796e-09,0.34353278354478645,50,0.0
7000,1,sparse_cutoff025,19.365644303,19.801490959000148,7.000659269136306e-09,7.000659284396452e-09,0.2690039813978297,50,0.25
7000,2,dense,5.9562567689999995,6.214296293999723,7.000309892494323e-09,7.000309878941796e-09,0.34353278354478645,50,0.0
7000,2,sparse_cutoff025,19.137382347000003,19.435204143000192,7.000659269136306e-09,7.000659284396452e-09,0.2690039813978297,50,0.25
7000,3,dense,6.1764326490000006,6.45004057999995,7.000309892494323e-09,7.000309878941796e-09,0.34353278354478645,50,0.0
7000,3,sparse_cutoff025,18.574984087,18.8522033750005,7.000659269136306e-09,7.000659284396452e-09,0.2690039813978297,50,0.25
8000,1,dense,7.771568439,8.145097869999518,8.00031638880554e-09,8.000316338281719e-09,0.34351932468129437,50,0.0
8000,1,sparse_cutoff025,24.345133128,24.7103098030002,8.000675130135368e-09,8.000675095088533e-09,0.26898169901548724,50,0.25
8000,2,dense,7.756535649,8.119686443999854,8.00031638880554e-09,8.000316338281719e-09,0.34351932468129437,50,0.0
8000,2,sparse_cutoff025,24.962538186,25.335292767000283,8.000675130135368e-09,8.000675095088533e-09,0.26898169901548724,50,0.25
8000,3,dense,7.759004654,8.517198429000018,8.00031638880554e-09,8.000316338281719e-09,0.34351932468129437,50,0.0
8000,3,sparse_cutoff025,25.035470974,25.423944881999887,8.000675130135368e-09,8.000675095088533e-09,0.26898169901548724,50,0.25
9000,1,dense,9.675548276999999,10.128652946999864,9.000313697343602e-09,9.00031372248354e-09,0.343512244564562,50,0.0
9000,1,sparse_cutoff025,31.265289727,31.711568401000477,9.000670764326463e-09,9.000670784235125e-09,0.2689725502325938,50,0.25
9000,2,dense,9.763814422000001,10.223379678000128,9.000313697343602e-09,9.00031372248354e-09,0.343512244564562,50,0.0
9000,2,sparse_cutoff025,31.414507869,31.87519249199977,9.000670764326463e-09,9.000670784235125e-09,0.2689725502325938,50,0.25
9000,3,dense,9.692656371,10.15065981600037,9.000313697343602e-09,9.00031372248354e-09,0.343512244564562,50,0.0
9000,3,sparse_cutoff025,31.278413464,31.742183823999767,9.000670764326463e-09,9.000670784235125e-09,0.2689725502325938,50,0.25
10000,1,dense,11.979159374,12.53506043500056,1.0000311734451972e-08,1.0000311770393274e-08,0.34351699482865433,50,0.0
10000,1,sparse_cutoff025,38.39835037,38.95198587399955,1.0000668300940005e-08,1.0000668304179059e-08,0.2689716074585524,50,0.25
10000,2,dense,11.897224171,12.438117143999989,1.0000311734451972e-08,1.0000311770393274e-08,0.34351699482865433,50,0.0
10000,2,sparse_cutoff025,38.6171088,39.147936715999094,1.0000668300940005e-08,1.0000668304179059e-08,0.2689716074585524,50,0.25
10000,3,dense,12.094411311,12.655784692000452,1.0000311734451972e-08,1.0000311770393274e-08,0.34351699482865433,50,0.0
10000,3,sparse_cutoff025,38.873849338,39.43673073699938,1.0000668300940005e-08,1.0000668304179059e-08,0.2689716074585524,50,0.25
11000,1,dense,14.504884059,15.158296100998996,1.1000308565480292e-08,1.100030855420459e-08,0.3435187893002314,50,0.0
11000,1,sparse_cutoff025,46.629019114,47.27003190000141,1.1000661146576664e-08,1.1000661109903526e-08,0.2689779356024854,50,0.25
11000,2,dense,14.535361076,15.202698965998934,1.1000308565480292e-08,1.100030855420459e-08,0.3435187893002314,50,0.0
11000,2,sparse_cutoff025,46.566242496,47.243208134999804,1.1000661146576664e-08,1.1000661109903526e-08,0.2689779356024854,50,0.25
11000,3,dense,14.508303441999999,15.175377085999571,1.1000308565480292e-08,1.100030855420459e-08,0.3435187893002314,50,0.0
11000,3,sparse_cutoff025,45.873998752,46.562026360001255,1.1000661146576664e-08,1.1000661109903526e-08,0.2689779356024854,50,0.25
12000,1,dense,17.348398300000003,18.219071339000948,1.200030415860723e-08,1.2000304135052937e-08,0.3435034419808978,50,0.0
12000,1,sparse_cutoff025,55.419372384,56.2027883869996,1.2000653240590168e-08,1.2000653217144296e-08,0.2689703161227147,50,0.25
12000,2,dense,17.162022591,17.92144013500001,1.200030415860723e-08,1.2000304135052937e-08,0.3435034419808978,50,0.0
12000,2,sparse_cutoff025,55.285891189999994,56.06364412900075,1.2000653240590168e-08,1.2000653217144296e-08,0.2689703161227147,50,0.25
12000,3,dense,17.36830649,18.138287212999785,1.200030415860723e-08,1.2000304135052937e-08,0.3435034419808978,50,0.0
12000,3,sparse_cutoff025,54.558200412999994,55.365125150001404,1.2000653240590168e-08,1.2000653217144296e-08,0.2689703161227147,50,0.25
