size,rep,variant,seq_key,seq_runtime_s,mpi_runtime_s,mpi_wall_s,speedup,efficiency,comm_mode,kernel_cutoff,sync_every,column_syncs,column_payload_bytes,payload_ratio_vs_double50,seq_iterations,mpi_iterations,mpi_row_error,mpi_col_error,objective_diff_vs_seq
4000,1,double_baseline,dense,2.278593887,2.14166496,3.4382762049999656,1.0639357367083224,0.5319678683541612,double,0,1,50,1600000,1.0,50,50,4.00030467610649e-09,4.000304667866553e-09,4.04121180963557e-14
4000,1,float32_comm,dense,2.278593887,1.443349817,2.528458937000323,1.5786844326734686,0.7893422163367343,float32,0,1,50,800000,0.5,50,50,4.2661925501075344e-09,3.8941890123948743e-08,8.782075067159667e-11
4000,1,quantized_comm,dense,2.278593887,1.4991451089999999,2.5830187599995043,1.5199288403241558,0.7599644201620779,quantized,0,1,50,800000,0.5,50,50,3.3941476965159215e-09,1.334749901578088e-07,2.1905832703339456e-10
4000,1,lazy_sync5,dense,2.278593887,1.24742587,2.67365842900017,1.8266367098832093,0.9133183549416046,lazy,0,5,10,320000,0.2,50,50,4.000305332536695e-09,4.000305324025708e-09,4.0245584642661925e-14
4000,1,sparse_cutoff025,sparse_cutoff025,6.7588919359999995,4.295184171,5.641204771000048,1.5735977008004298,0.7867988504002149,double,0.25,1,50,1600000,1.0,50,50,4.000650567336644e-09,4.0006505414784226e-09,1.0547118733938987e-14
4000,2,double_baseline,dense,2.129687673,1.9588212919999999,3.6780745209998713,1.0872291830285046,0.5436145915142523,double,0,1,50,1600000,1.0,50,50,4.00030467610649e-09,4.000304667866553e-09,4.04121180963557e-14
4000,2,float32_comm,dense,2.129687673,1.632121839,2.923263777000102,1.304858266160361,0.6524291330801805,float32,0,1,50,800000,0.5,50,50,4.2661925501075344e-09,3.8941890123948743e-08,8.782075067159667e-11
4000,2,quantized_comm,dense,2.129687673,1.552978934,2.687640731999636,1.3713564468737345,0.6856782234368672,quantized,0,1,50,800000,0.5,50,50,3.3941476965159215e-09,1.334749901578088e-07,2.1905832703339456e-10
4000,2,lazy_sync5,dense,2.129687673,1.576405867,2.773021252000035,1.3509767488070379,0.6754883744035189,lazy,0,5,10,320000,0.2,50,50,4.000305332536695e-09,4.000305324025708e-09,4.0245584642661925e-14
4000,2,sparse_cutoff025,sparse_cutoff025,6.503027353999999,4.3223582039999995,5.854578731000402,1.5045091237422117,0.7522545618711058,double,0.25,1,50,1600000,1.0,50,50,4.000650567336644e-09,4.0006505414784226e-09,1.0547118733938987e-14
4000,3,double_baseline,dense,2.219437239,2.116373741,7.618263229000149,1.0486981557195574,0.5243490778597787,double,0,1,50,1600000,1.0,50,50,4.00030467610649e-09,4.000304667866553e-09,4.04121180963557e-14
4000,3,float32_comm,dense,2.219437239,1.439982296,2.5093998189995546,1.541294809780078,0.770647404890039,float32,0,1,50,800000,0.5,50,50,4.2661925501075344e-09,3.8941890123948743e-08,8.782075067159667e-11
4000,3,quantized_comm,dense,2.219437239,1.552367373,2.801586550999673,1.4297113412728237,0.7148556706364119,quantized,0,1,50,800000,0.5,50,50,3.3941476965159215e-09,1.334749901578088e-07,2.1905832703339456e-10
4000,3,lazy_sync5,dense,2.219437239,1.2637850529999999,2.4530770450001,1.7561825357337884,0.8780912678668942,lazy,0,5,10,320000,0.2,50,50,4.000305332536695e-09,4.000305324025708e-09,4.0245584642661925e-14
4000,3,sparse_cutoff025,sparse_cutoff025,6.44524522,4.3430043309999995,5.525641396999163,1.4840522202555457,0.7420261101277729,double,0.25,1,50,1600000,1.0,50,50,4.000650567336644e-09,4.0006505414784226e-09,1.0547118733938987e-14
5000,1,double_baseline,dense,3.382683449,2.887529874,4.778600464000192,1.1714799834483027,0.5857399917241514,double,0,1,50,2000000,1.0,50,50,5.000306883205493e-09,5.000306898411428e-09,2.3592239273284576e-14
5000,1,float32_comm,dense,3.382683449,2.4868761200000002,3.7057567840001866,1.360213893163283,0.6801069465816415,float32,0,1,50,1000000,0.5,50,50,4.320987996391228e-09,2.452554837963452e-08,2.3141605298704349e-10
5000,1,quantized_comm,dense,3.382683449,2.3280048,3.5424007760002496,1.4530397226844205,0.7265198613422102,quantized,0,1,50,1000000,0.5,50,50,3.801697366824118e-09,1.6712494377074325e-07,4.084014793015456e-10
5000,1,lazy_sync5,dense,3.382683449,1.7799597169999999,2.9925924420003867,1.9004269684829054,0.9502134842414527,lazy,0,5,10,400000,0.2,50,50,5.0003079012442275e-09,5.000307899130033e-09,2.3814283878209608e-14
5000,1,sparse_cutoff025,sparse_cutoff025,9.892214203999998,6.0024072120000005,7.232183818000522,1.6480411699198787,0.8240205849599394,double,0.25,1,50,2000000,1.0,50,50,5.000655403409075e-09,5.00065547068382e-09,2.1094237467877974e-14
5000,2,double_baseline,dense,3.5795650070000002,2.7686459979999998,4.316968652000469,1.2928937139619106,0.6464468569809553,double,0,1,50,2000000,1.0,50,50,5.000306883205493e-09,5.000306898411428e-09,2.3592239273284576e-14
