size,variant,seq_avg_s,mpi_np2_avg_s,speedup,efficiency,mpi_min_s,mpi_max_s,mpi_stdev_s,avg_column_syncs,avg_payload_bytes,payload_ratio_vs_double50,max_objective_diff_vs_seq,avg_mpi_row_error,avg_mpi_col_error,iterations
4000,double_baseline,2.2092395996666667,2.0722866643333333,1.066087833160569,0.5330439165802845,1.9588212919999999,2.14166496,0.09907423720969528,50,1600000,1.0,4.04121180963557e-14,4.00030467610649e-09,4.000304667866553e-09,50
4000,float32_comm,2.2092395996666667,1.5051513173333333,1.4677857131206995,0.7338928565603497,1.439982296,1.632121839,0.10997258785102072,50,800000,0.5,8.782075067159667e-11,4.2661925501075344e-09,3.8941890123948743e-08,50
4000,quantized_comm,2.2092395996666667,1.534830472,1.439403008977181,0.7197015044885905,1.4991451089999999,1.552978934,0.030905943620046814,50,800000,0.5,2.1905832703339456e-10,3.3941476965159215e-09,1.334749901578088e-07,50
4000,lazy_sync5,2.2092395996666667,1.36253893,1.6214139288237928,0.8107069644118964,1.24742587,1.576405867,0.18539472962689196,10,320000,0.2,4.0245584642661925e-14,4.000305332536695e-09,4.000305324025708e-09,50
4000,sparse_cutoff025,6.569054836666666,4.320182235333333,1.5205504024669496,0.7602752012334748,4.295184171,4.3430043309999995,0.023984225135182665,50,1600000,1.0,1.0547118733938987e-14,4.000650567336644e-09,4.0006505414784226e-09,50
5000,double_baseline,3.4728138426666666,2.790396431,1.2445593049379393,0.6222796524689697,2.715013421,2.887529874,0.08829095446698339,50,2000000,1.0,2.3592239273284576e-14,5.000306883205493e-09,5.000306898411428e-09,50
5000,float32_comm,3.4728138426666666,2.5271889343333336,1.3741805353317544,0.6870902676658772,2.4868761200000002,2.57179116,0.042619717171049946,50,1000000,0.5,2.3141605298704349e-10,4.320987996391228e-09,2.452554837963452e-08,50
5000,quantized_comm,3.4728138426666666,2.3371655933333333,1.485908338105234,0.742954169052617,2.1483226799999997,2.5351693,0.19358594203151278,50,1000000,0.5,4.084014793015456e-10,3.801697366824118e-09,1.6712494377074325e-07,50
5000,lazy_sync5,3.4728138426666666,1.845287548,1.8819906124824004,0.9409953062412002,1.7799597169999999,1.892582631,0.05843684787688744,10,400000,0.2,2.3814283878209608e-14,5.0003079012442275e-09,5.000307899130033e-09,50
5000,sparse_cutoff025,10.014358548666666,6.004781739666667,1.6677306491447224,0.8338653245723612,5.994626608,6.0173113990000004,0.01152730332333845,50,2000000,1.0,2.1094237467877974e-14,5.000655403409075e-09,5.00065547068382e-09,50
6000,double_baseline,4.841382459,3.640643462,1.329815047678514,0.664907523839257,3.574658684,3.721508137,0.07454695810459161,50,2400000,1.0,1.233457780358549e-13,6.000310251024236e-09,6.000310264874919e-09,50
6000,float32_comm,4.841382459,3.207863206,1.5092234762207626,0.7546117381103813,3.19877219,3.213031214,0.00789762212214476,50,1200000,0.5,6.455053158660462e-11,6.174812291798344e-09,2.9464707829802896e-08,50
6000,quantized_comm,4.841382459,3.1935028273333335,1.5160100744431448,0.7580050372215724,3.1348104180000003,3.2884934820000002,0.08302284625822086,50,1200000,0.5,1.3588817848741996e-09,1.9987203006490047e-09,1.9763997152248366e-07,50
6000,lazy_sync5,4.841382459,2.5966489243333335,1.864473249976595,0.9322366249882975,2.52632733,2.683419997,0.07982772393957087,10,480000,0.2,1.2279066652354231e-13,6.000311691630768e-09,6.000311708408796e-09,50
6000,sparse_cutoff025,14.607980262666667,8.38048365,1.743095133019759,0.8715475665098795,8.330273632,8.448537726,0.06111797433522035,50,2400000,1.0,7.549516567451064e-15,6.000660246122244e-09,6.000660252166671e-09,50
7000,double_baseline,6.157410903333333,4.525244357666667,1.360680311749674,0.680340155874837,4.377147257,4.7135235269999995,0.17175039370123055,50,2800000,1.0,4.551914400963142e-15,7.000309857149332e-09,7.000309802641068e-09,50
7000,float32_comm,6.157410903333333,3.968827076333333,1.5514434831516921,0.7757217415758461,3.862137722,4.047949603999999,0.09592424783363157,50,1400000,0.5,2.138563770515134e-10,6.3741691169272394e-09,3.4349760343402314e-08,50
7000,quantized_comm,6.157410903333333,3.960313137,1.5547787991324518,0.7773893995662259,3.950918684,3.9722901470000003,0.01091728254575206,50,1400000,0.5,7.298550652734548e-11,7.205674669246397e-09,2.343706086846897e-07,50
