kind,size,rep,runtime_sec,objective,row_error,col_error,num_processes,hostnames,json,log
mpi,11000,2,8.692921323,0.09999828572855096,1.1003922524804692e-08,1.1003922556571816e-08,2,vmubuntu;VMubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/mpi_11000_np2_rep2.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/mpi_11000_np2_rep2.log
mpi,11000,3,8.303877268,0.09999828572855096,1.1003922524804692e-08,1.1003922556571816e-08,2,vmubuntu;VMubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/mpi_11000_np2_rep3.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/mpi_11000_np2_rep3.log
mpi,11000,4,8.114437034,0.09999828572855096,1.1003922524804692e-08,1.1003922556571816e-08,2,vmubuntu;VMubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/mpi_11000_np2_rep4.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/mpi_11000_np2_rep4.log
seq,11000,1,18.181513016,0.099998285728546,1.1003922502009341e-08,1.100392250640036e-08,1,vmubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/seq_11000_rep1.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/seq_11000_rep1.log
seq,11000,2,19.603303886,0.099998285728546,1.1003922502009341e-08,1.100392250640036e-08,1,vmubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/seq_11000_rep2.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/seq_11000_rep2.log
seq,11000,3,15.735988727999999,0.099998285728546,1.1003922502009341e-08,1.100392250640036e-08,1,vmubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/seq_11000_rep3.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/seq_11000_rep3.log
seq,11000,4,15.349226443,0.099998285728546,1.1003922502009341e-08,1.100392250640036e-08,1,vmubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/seq_11000_rep4.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/seq_11000_rep4.log
mpi,12000,1,12.757108962,0.09999918236082418,1.2003910793129515e-08,1.2003910783168407e-08,2,vmubuntu;VMubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/mpi_12000_np2_rep1.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/mpi_12000_np2_rep1.log
mpi,12000,2,10.691180016999999,0.09999918236082418,1.2003910793129515e-08,1.2003910783168407e-08,2,vmubuntu;VMubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/mpi_12000_np2_rep2.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/mpi_12000_np2_rep2.log
mpi,12000,3,9.613761932000001,0.09999918236082418,1.2003910793129515e-08,1.2003910783168407e-08,2,vmubuntu;VMubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/mpi_12000_np2_rep3.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/mpi_12000_np2_rep3.log
mpi,12000,4,9.880277887999998,0.09999918236082418,1.2003910793129515e-08,1.2003910783168407e-08,2,vmubuntu;VMubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/mpi_12000_np2_rep4.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/mpi_12000_np2_rep4.log
seq,12000,1,20.441749157,0.0999991823607845,1.2003910782558544e-08,1.2003910757743866e-08,1,vmubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/seq_12000_rep1.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/seq_12000_rep1.log
seq,12000,2,19.594681478,0.0999991823607845,1.2003910782558544e-08,1.2003910757743866e-08,1,vmubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/seq_12000_rep2.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/seq_12000_rep2.log
seq,12000,3,20.246610508,0.0999991823607845,1.2003910782558544e-08,1.2003910757743866e-08,1,vmubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/seq_12000_rep3.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/seq_12000_rep3.log
seq,12000,4,18.127076392,0.0999991823607845,1.2003910782558544e-08,1.2003910757743866e-08,1,vmubuntu,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/seq_12000_rep4.json,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_router2_25_26_fixed50_reps4/logs/seq_12000_rep4.log
